"Customer Profile","Mijoz profili"
"Product","Mahsulot"
"Product Category","Mahsulot toifalari"
"Sales Order","Sotuv buyurtmasi"
"Contract","Shartnoma"
"Installment Plan","Muddatli to'lov rejasi"
"Payment Transaction","To'lov tranzaksiyasi"
"Branch","Filial"
"Warehouse","Ombor"
"Stock Ledger","Ombor daftari"
"Stock Entry","Ombor kirim-chiqim"
"Merchant Settings","Savdogar sozlamalari"
"Print Template","Chop etish shabloni"
"Data Import Tool","Ma'lumot import vositasi"
"SMS Gateway Settings","SMS shlyuz sozlamalari"
"Cashbox","Kassa"
"Cash Handover","Naqd pul topshirish"
"Collector","Inkassator"
"Expense","Xarajat"
"Collection Log","Inkasso jurnali"
"Customers","Mijozlar"
"Products","Mahsulotlar"
"Sales Orders","Sotuv buyurtmalari"
"Contracts","Shartnomalar"
"Installment Plans","Muddatli to'lov rejalari"
"Payment Transactions","To'lov tranzaksiyalari"
"Branches","Filiallar"
"Warehouses","Omborlar"
"Stock Entries","Ombor kirim-chiqimlar"
"Expenses","Xarajatlar"
"Активный","Faol"
"Завершен","Yakunlangan"
"Просрочен","Muddati o'tgan"
"Ожидает","Kutmoqda"
"Частично","Qisman"
"Отменен","Bekor qilingan"
"Черновик","Qoralama"
"Подписан","Imzolangan"
"Подтвержден","Tasdiqlangan"
"Оплачен","To'langan"
"Открыта","Ochiq"
"Закрыта","Yopiq"
"Списан","Hisobdan chiqarilgan"
"Приостановлен","To'xtatilgan"
"Черный список","Qora ro'yxat"
"Одобрен","Tasdiqlangan"
"Низкий","Past"
"Средний","O'rta"
"Высокий","Yuqori"
"В наличии","Mavjud"
"Частично продан","Qisman sotilgan"
"Рассрочка","Nasiya"
"Наличные","Naqd"
"Возврат","Qaytarish"
"Наличные USD","Naqd USD"
"Наличные UZS","Naqd UZS"
"Акксессуар касса","Aksessuar kassa"
"Карта","Karta"
"Перевод","O'tkazma"
"Терминал","Terminal"
"Комбинированный","Kombinatsiyalangan"
"Другое","Boshqa"
"Приход","Kirim"
"Расход","Chiqim"
"Оплата получена","To'lov qabul qilindi"
"Первоначальный взнос","Boshlang'ich to'lov"
"Платеж по рассрочке","Nasiya to'lovi"
"Поступление","Qabul qilish"
"Отпуск","Chiqarish"
"Перемещение","Ko'chirish"
"Корректировка","Tuzatish"
"Ежемесячно (Monthly)","Oylik (Monthly)"
"Еженедельно (Weekly)","Haftalik (Weekly)"
"Раз в две недели (Biweekly)","Ikki haftada bir (Biweekly)"
"Рассрочка (BNPL)","Nasiya (BNPL)"
"Договор","Shartnoma"
"Мужской","Erkak"
"Женский","Ayol"
"Узбекский","O'zbek"
"Русский","Rus"
"Английский","Ingliz"
"BNPL — быстрый поток","BNPL — tezkor oqim"
"Предпросмотр платежа","To'lov ko'rishi"
"Риск клиента","Mijoz xavfi"
"Клиент и заказ","Mijoz va buyurtma"
"Статус плана","Reja holati"
"Поступление на склад","Omborga qabul"
"Заказ на продажу (импорт / legacy)","Sotuv buyurtmasi (import / legacy)"
"Условия займа","Qarz shartlari"
"Сумма покупки","Xarid miqdori"
"Сумма кредита","Kredit miqdori"
"Количество платежей","To'lovlar soni"
"Периодичность","Davriylik"
"Ставка % (мес.)","Stavka % (oy)"
"Дата первого платежа","Birinchi to'lov sanasi"
"Детали расчёта","Hisoblash tafsilotlari"
"Платёж в период","Davr to'lovi"
"Последний платёж","Oxirgi to'lov"
"Итого проценты","Jami foizlar"
"Всего к оплате","Jami to'lov"
"Дата договора","Shartnoma sanasi"
"Долг за сегодня","Bugungi qarz"
"Общий долг","Umumiy qarz"
"Ежемесячная оплата","Oylik to'lov"
"График платежей","To'lovlar jadvali"
"График","Jadval"
"Прогресс оплаты","To'lov jarayoni"
"Оплачено платежей","To'langan to'lovlar"
"Просроченные платежи","Muddati o'tgan to'lovlar"
"Клиент и планы","Mijoz va rejalar"
"Планы рассрочки клиента","Mijoz nasiya rejalari"
"Параметры платежа","To'lov parametrlari"
"Дата платежа","To'lov sanasi"
"ID транзакции","Tranzaksiya ID"
"Курс USD/UZS","USD/UZS kursi"
"Используется как курс по умолчанию для строк в UZS","UZS satrlari uchun standart kurs sifatida ishlatiladi"
"Детали оплаты","To'lov tafsilotlari"
"Добавьте один или несколько способов оплаты","Bir yoki bir nechta to'lov usulini qo'shing"
"Способы оплаты","To'lov usullari"
"Итог","Jami"
"Общая сумма платежа","Umumiy to'lov miqdori"
"Суммируется автоматически из каналов выше; при пустых каналах можно ввести вручную","Yuqoridagi kanallardan avtomatik yig'iladi; bo'sh kanallar bo'lsa qo'lda kiritish mumkin"
"Переплата","Ortiqcha to'lov"
